City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
177,uvinza,-5.1036,30.3911,291.87,95,48,0.71,TZ,1712875524
178,itaituba,-4.2761,-55.9836,298.36,97,99,0.49,BR,1712875525
179,tafresh,34.692,50.013,279.83,76,94,3.88,IR,1712875525
180,salinopolis,-0.6136,-47.3561,299.99,88,100,3.96,BR,1712875397
181,bakanas,44.8081,76.2772,281.27,72,100,9.35,KZ,1712875279
182,papatowai,-46.5619,169.4708,281.27,81,100,2.11,NZ,1712875459
183,nelson bay,-32.7167,152.15,291.53,83,32,3.58,AU,1712875373
184,cimarron hills,38.8586,-104.6989,288.81,35,20,4.63,US,1712875403
185,east london,-33.0153,27.9116,288.75,64,40,6.74,ZA,1712875473
186,gadzhiyevo,69.2551,33.3362,272.72,91,100,11.29,RU,1712875529
187,vila franca do campo,37.7167,-25.4333,291.42,99,36,1.66,PT,1712875530
188,huanggang,23.677,116.9996,293.09,80,10,0.15,CN,1712875530
189,popondetta,-8.7537,148.2534,298.58,93,97,0.09,PG,1712875531
190,tsiombe,-25.3,45.4833,293.21,88,95,2.06,MG,1712875532
191,dul'durga,50.6761,113.5931,276.7,58,37,1.24,RU,1712875533
192,geraldton,-28.7667,114.6,292.38,72,40,3.6,AU,1712875533
193,utrik,11.2278,169.8474,299.84,74,97,9.25,MH,1712875456
194,port mathurin,-19.6833,63.4167,299.75,77,7,4.83,MU,1712875534
195,djenne,13.9061,-4.5533,306.86,27,94,2.96,ML,1712875535
196,mount isa,-20.7333,139.5,293.02,40,0,2.06,AU,1712875535
197,pontes e lacerda,-15.2261,-59.3353,297.65,95,100,0.43,BR,1712875444
198,fortuna,40.5982,-124.1573,287.96,82,100,5.66,US,1712875537
199,gondar,12.6,37.4667,292.37,25,23,2.34,ET,1712875537
200,namibe,-15.1961,12.1522,295.88,72,0,1.89,AO,1712875476
201,thunder bay,48.4001,-89.3168,283.14,87,100,5.14,CA,1712875389
202,shar,49.5886,81.0453,273.55,89,98,5.39,KZ,1712875539
203,cesme,38.3228,26.3064,290.12,78,0,9.07,TR,1712875539
204,lucheng,31.2336,117.2806,290.12,96,100,1.01,CN,1712875540
205,dhuusamarreeb,5.535,46.3861,299.83,71,98,5.63,SO,1712875541
206,souillac,-20.5167,57.5167,298.36,94,40,2.06,MU,1712875541
207,labrador city,52.9463,-66.9114,277.1,70,100,4.63,CA,1712875513
208,chipinge,-20.1883,32.6236,288.5,95,98,2.5,ZW,1712875542
209,holualoa,19.6228,-155.9522,298.46,70,100,2.57,US,1712875484
210,san patricio,28.017,-97.5169,304.07,23,0,5.36,US,1712875535
211,vega de alatorre,20.0333,-96.6333,298.55,56,0,4.73,MX,1712875399
212,lagunas,-5.2269,-75.6753,298.46,90,94,1.61,PE,1712875545
213,nuuk,64.1835,-51.7216,270.49,93,75,3.6,GL,1712875481
214,tasnad,47.4833,22.5833,285.03,87,30,1.53,RO,1712875546
215,flying fish cove,-10.4217,105.6791,299.97,89,75,3.6,CX,1712875464
216,ancud,-41.8697,-73.8203,283.72,74,0,1.82,CL,1712875547
217,tukrah,32.5341,20.5791,289.37,77,100,5.99,LY,1712875547
218,anshun,26.25,105.9333,288.99,93,95,1.7,CN,1712875548
219,tofol,5.3248,163.0078,301.03,83,100,3.09,FM,1712875549
220,remire-montjoly,4.9167,-52.2667,301.17,89,75,3.6,GF,1712875465
221,kolo,52.2002,18.6387,285.28,62,99,3.01,PL,1712875550
222,sillod,20.3,75.65,298.46,56,27,3.04,IN,1712875550
223,mary,37.0,62.5,292.83,40,90,4.35,TM,1712875551
224,apatity,67.5641,33.4031,274.07,100,96,4.57,RU,1712875551
225,taltal,-25.4,-70.4833,291.83,78,60,1.91,CL,1712875552
226,zarghun shahr,32.8473,68.4457,285.98,52,97,6.17,AF,1712875553
227,kavaratti,10.5669,72.642,302.15,67,1,1.29,IN,1712875553
228,peace river,56.2501,-117.286,286.32,28,75,3.6,CA,1712875554
229,isangel,-19.55,169.2667,300.21,94,75,1.03,VU,1712875554
230,konin,52.2234,18.2512,285.58,61,100,3.03,PL,1712875555
231,tucuma,-0.1833,-50.05,299.44,89,100,2.62,BR,1712875555
232,santa ines,-3.6667,-45.38,298.7,89,100,1.54,BR,1712875333
233,mejit,10.2753,170.8646,299.83,79,100,9.24,MH,1712875557
